time,station,temp_c,temp_f,wind_speed_km,wind_speed_miles
2025-11-04 10:23:46 EST,KHGR,12,53.6,16.668,10.417499999999999
2025-11-04 10:42:23 EST,KHGR,13,55.4,18.504,11.565
2025-11-04 11:16:27 EST,KHGR,13,55.4,20.376,12.735
2025-11-04 11:46:59 EST,KHGR,14,57.2,18.504,11.565
2025-11-04 12:42:39 EST,KHGR,15,59,16.668,10.417499999999999
2025-11-04 13:15:58 EST,KHGR,16,60.8,12.96,8.1
2025-11-04 13:48:23 EST,KHGR,17,62.6,20.376,12.735
2025-11-04 14:09:37 EST,KHGR,17,62.6,29.628,18.5175
2025-11-04 14:35:09 EST,KHGR,17,62.6,20.376,12.735
2025-11-04 15:14:14 EST,KHGR,17,62.6,20.376,12.735
2025-11-04 15:45:00 EST,KHGR,17,62.6,24.084,15.052499999999998
2025-11-04 16:10:59 EST,KHGR,17,62.6,14.832,9.27
2025-11-04 16:35:43 EST,KHGR,16,60.8,14.832,9.27
2025-11-04 17:14:31 EST,KHGR,14,57.2,12.96,8.1
2025-11-04 17:41:30 EST,KHGR,13,55.4,11.124,6.9525
2025-11-04 18:11:23 EST,KHGR,12,53.6,12.96,8.1
2025-11-04 18:36:25 EST,KHGR,12,53.6,12.96,8.1
2025-11-04 19:51:15 EST,KHGR,12,53.6,18.504,11.565
2025-11-04 21:29:13 EST,KHGR,10,50,5.544,3.4649999999999994
2025-11-04 22:32:18 EST,KHGR,12,53.6,7.416,4.635
2025-11-04 23:15:50 EST,KHGR,9,48.2,5.544,3.4649999999999994
2025-11-04 23:42:50 EST,KHGR,8,46.4,0,0
2025-11-05 00:14:16 EST,KHGR,8,46.4,12.96,8.1
2025-11-05 00:41:41 EST,KHGR,7,44.6,9.252,5.7825
2025-11-05 01:17:50 EST,KHGR,7,44.6,9.252,5.7825
2025-11-05 01:51:29 EST,KHGR,7,44.6,11.124,6.9525
2025-11-05 02:12:27 EST,KHGR,8,46.4,11.124,6.9525
2025-11-05 02:39:39 EST,KHGR,7,44.6,7.416,4.635
2025-11-05 03:15:42 EST,KHGR,6,42.8,9.252,5.7825
2025-11-05 03:47:26 EST,KHGR,7,44.6,7.416,4.635
2025-11-05 04:13:53 EST,KHGR,6,42.8,7.416,4.635
2025-11-05 04:44:08 EST,KHGR,6,42.8,7.416,4.635
2025-11-05 05:14:26 EST,KHGR,7,44.6,9.252,5.7825
2025-11-05 05:45:40 EST,KHGR,6,42.8,9.252,5.7825
2025-11-05 06:10:55 EST,KHGR,6,42.8,11.124,6.9525
2025-11-05 06:36:10 EST,KHGR,7,44.6,11.124,6.9525
2025-11-05 07:22:46 EST,KHGR,7,44.6,12.96,8.1
2025-11-05 08:08:16 EST,KHGR,8,46.4,7.416,4.635
2025-11-05 08:49:12 EST,KHGR,8,46.4,5.544,3.4649999999999994
2025-11-05 09:12:00 EST,KHGR,9,48.2,5.544,3.4649999999999994
2025-11-05 09:43:38 EST,KHGR,13,55.4,18.504,11.565
2025-11-05 10:13:11 EST,KHGR,14,57.2,18.504,11.565
2025-11-05 10:41:35 EST,KHGR,16,60.8,20.376,12.735
2025-11-05 11:16:15 EST,KHGR,15,59,16.668,10.417499999999999
2025-11-05 11:48:42 EST,KHGR,17,62.6,18.504,11.565
2025-11-05 12:11:52 EST,KHGR,18,64.4,16.668,10.417499999999999
2025-11-05 12:40:56 EST,KHGR,18,64.4,22.212,13.882499999999999
2025-11-05 13:15:57 EST,KHGR,19,66.2,16.668,10.417499999999999
2025-11-05 13:48:50 EST,KHGR,20,68,14.832,9.27
2025-11-05 14:10:18 EST,KHGR,21,69.8,20.376,12.735
2025-11-05 14:34:34 EST,KHGR,22,71.6,16.668,10.417499999999999
2025-11-05 15:15:16 EST,KHGR,22,71.6,12.96,8.1
2025-11-05 15:41:25 EST,KHGR,23,73.4,18.504,11.565
2025-11-05 16:10:56 EST,KHGR,23,73.4,18.504,11.565
2025-11-05 16:34:46 EST,KHGR,23,73.4,18.504,11.565
2025-11-05 17:10:53 EST,KHGR,22,71.6,14.832,9.27
2025-11-05 17:40:35 EST,KHGR,22,71.6,20.376,12.735
2025-11-05 18:11:15 EST,KHGR,21,69.8,18.504,11.565
2025-11-05 18:37:55 EST,KHGR,22,71.6,16.668,10.417499999999999
2025-11-05 19:49:15 EST,KHGR,21,69.8,22.212,13.882499999999999
2025-11-06 01:50:10 EST,KHGR,10,50,29.628,18.5175
2025-11-06 02:17:59 EST,KHGR,9,48.2,22.212,13.882499999999999
2025-11-06 02:37:04 EST,KHGR,9,48.2,20.376,12.735
2025-11-06 03:17:01 EST,KHGR,9,48.2,25.92,16.2
2025-11-06 04:13:13 EST,KHGR,8,46.4,27.792,17.37
2025-11-06 05:15:22 EST,KHGR,7,44.6,29.628,18.5175
2025-11-06 05:44:40 EST,KHGR,7,44.6,33.336,20.834999999999997
2025-11-06 06:11:00 EST,KHGR,7,44.6,18.504,11.565
2025-11-06 06:35:39 EST,KHGR,7,44.6,11.124,6.9525
2025-11-06 07:23:02 EST,KHGR,7,44.6,5.544,3.4649999999999994
2025-11-06 08:06:19 EST,KHGR,8,46.4,14.832,9.27
2025-11-06 08:47:36 EST,KHGR,9,48.2,16.668,10.417499999999999
2025-11-06 09:43:08 EST,KHGR,11,51.8,31.5,19.6875
2025-11-06 11:16:06 EST,KHGR,12,53.6,20.376,12.735
2025-11-06 11:54:14 EST,KHGR,13,55.4,25.92,16.2
2025-11-06 12:13:07 EST,KHGR,13,55.4,33.336,20.834999999999997
2025-11-06 12:42:10 EST,KHGR,13,55.4,29.628,18.5175
2025-11-06 13:51:12 EST,KHGR,13,55.4,18.504,11.565
2025-11-06 14:11:22 EST,KHGR,14,57.2,25.92,16.2
2025-11-06 15:13:53 EST,KHGR,14,57.2,25.92,16.2
2025-11-06 15:41:26 EST,KHGR,13,55.4,20.376,12.735
2025-11-06 16:10:25 EST,KHGR,13,55.4,24.084,15.052499999999998
2025-11-06 16:42:25 EST,KHGR,12,53.6,16.668,10.417499999999999
2025-11-06 17:11:07 EST,KHGR,11,51.8,14.832,9.27
2025-11-06 17:40:51 EST,KHGR,10,50,7.416,4.635
2025-11-06 18:12:00 EST,KHGR,9,48.2,7.416,4.635
2025-11-06 18:39:21 EST,KHGR,9,48.2,5.544,3.4649999999999994
2025-11-06 19:49:17 EST,KHGR,9,48.2,0,0
2025-11-06 21:27:56 EST,KHGR,7,44.6,5.544,3.4649999999999994
2025-11-06 22:32:25 EST,KHGR,6,42.8,5.544,3.4649999999999994
2025-11-06 22:55:17 EST,KHGR,5,41,0,0
2025-11-06 23:14:20 EST,KHGR,5,41,7.416,4.635
2025-11-06 23:42:31 EST,KHGR,5,41,7.416,4.635
2025-11-07 00:13:38 EST,KHGR,3,37.4,0,0
2025-11-07 00:42:53 EST,KHGR,3,37.4,0,0
2025-11-07 01:17:45 EST,KHGR,4,39.2,5.544,3.4649999999999994
2025-11-07 01:49:41 EST,KHGR,4,39.2,5.544,3.4649999999999994
2025-11-07 02:13:42 EST,KHGR,3,37.4,0,0
2025-11-07 02:36:50 EST,KHGR,2,35.6,0,0
2025-11-07 03:15:44 EST,KHGR,3,37.4,0,0
2025-11-07 03:47:45 EST,KHGR,3,37.4,5.544,3.4649999999999994
2025-11-07 04:12:28 EST,KHGR,3,37.4,0,0
2025-11-07 04:39:04 EST,KHGR,3,37.4,0,0
2025-11-07 05:13:01 EST,KHGR,3,37.4,0,0
2025-11-07 05:42:51 EST,KHGR,4,39.2,5.544,3.4649999999999994
2025-11-07 06:10:38 EST,KHGR,3,37.4,0,0
2025-11-07 06:35:10 EST,KHGR,4,39.2,0,0
2025-11-07 07:20:44 EST,KHGR,3,37.4,7.416,4.635
2025-11-07 08:04:25 EST,KHGR,4,39.2,9.252,5.7825
2025-11-07 08:44:58 EST,KHGR,4,39.2,9.252,5.7825
2025-11-07 09:11:22 EST,KHGR,5,41,7.416,4.635
2025-11-07 09:43:22 EST,KHGR,8,46.4,12.96,8.1
2025-11-07 10:12:03 EST,KHGR,10,50,12.96,8.1
